Country or Area,ISO-alpha3 Code,Continent,Region 1,Region 2
Libya,LBY,Africa,Northern Africa,Sub-Saharan Africa
Liechtenstein,LIE,Europe,Western Europe,
Lithuania,LTU,Europe,Northern Europe,
Luxembourg,LUX,Europe,Western Europe,
Madagascar,MDG,Africa,Eastern Africa,
Malawi,MWI,Africa,Eastern Africa,Sub-Saharan Africa
Malaysia,MYS,Asia,South-eastern Asia,Sub-Saharan Africa
Maldives,MDV,Asia,Southern Asia,
Mali,MLI,Africa,Western Africa,
Malta,MLT,Europe,Southern Europe,Sub-Saharan Africa
Gozo,MLT,Europe,Southern Europe,
Marshall Islands,MHL,Oceania,Micronesia,
Martinique,MTQ,North America,Caribbean,
Mauritania,MRT,Africa,Western Africa,Latin America and the Caribbean
Mauritius,MUS,Africa,Eastern Africa,Sub-Saharan Africa
Mayotte,MYT,Africa,Eastern Africa,Sub-Saharan Africa
Mexico,MEX,North America,Central America,Sub-Saharan Africa
Micronesia,FSM,Oceania,Micronesia,Latin America and the Caribbean
Monaco,MCO,Europe,Western Europe,
Mongolia,MNG,Asia,Eastern Asia,
Montenegro,MNE,Europe,Southern Europe,
Montserrat,MSR,North America,Caribbean,
Morocco,MAR,Africa,Northern Africa,Latin America and the Caribbean
Mozambique,MOZ,Africa,Eastern Africa,
Myanmar,MMR,Asia,South-eastern Asia,Sub-Saharan Africa
Namibia,NAM,Africa,Southern Africa,
Nauru,NRU,Oceania,Micronesia,Sub-Saharan Africa
Nepal,NPL,Asia,Southern Asia,
Netherlands,NLD,Europe,Western Europe,
New Caledonia,NCL,Oceania,Melanesia,
New Zealand,NZL,Oceania,Australia and New Zealand,
Nicaragua,NIC,North America,Central America,
Niger,NER,Africa,Western Africa,Latin America and the Caribbean
Nigeria,NGA,Africa,Western Africa,Sub-Saharan Africa
Yoruba Nation,NGA,Africa,Western Africa,Sub-Saharan Africa
Biafra,NGA,Africa,Western Africa,Sub-Saharan Africa
Niue,NIU,Oceania,Polynesia,Sub-Saharan Africa
Norfolk Island,NFK,Oceania,Australia and New Zealand,
North Macedonia,MKD,Europe,Southern Europe,
Northern Mariana Islands,MNP,Oceania,Micronesia,
Norway,NOR,Europe,Northern Europe,
Hitra,NOR,Europe,Northern Europe,
Frøya,NOR,Europe,Northern Europe,
Oman,OMN,Asia,Western Asia,
Pakistan,PAK,Asia,Southern Asia,
Palau,PLW,Oceania,Micronesia,
Panama,PAN,North America,Central America,
Papua New Guinea,PNG,Oceania,Melanesia,Latin America and the Caribbean
Paraguay,PRY,South America,South America,
Peru,PER,South America,South America,Latin America and the Caribbean
Philippines,PHL,Asia,South-eastern Asia,Latin America and the Caribbean
Pitcairn,PCN,Oceania,Polynesia,
Poland,POL,Europe,Eastern Europe,
Silesia,,Europe,Eastern Europe,
Portugal,PRT,Europe,Southern Europe,
Puerto Rico,PRI,North America,Caribbean,
Qatar,QAT,Asia,Western Asia,Latin America and the Caribbean
South Korea,KOR,Asia,Eastern Asia,
Moldova,MDA,Europe,Eastern Europe,
Găgăuzia,MDA,Europe,Eastern Europe,
Réunion,REU,Africa,Eastern Africa,
Romania,ROU,Europe,Eastern Europe,Sub-Saharan Africa
Romani people,,Europe,Eastern Europe,
Székely Land,ROU,Europe,Eastern Europe,
Russia,RUS,Europe,Eastern Europe,
Rwanda,RWA,Africa,Eastern Africa,
Saint Barthélemy,BLM,North America,Caribbean,Sub-Saharan Africa
Saint Helena,SHN,Africa,Western Africa,Latin America and the Caribbean
Saint Kitts and Nevis,KNA,North America,Caribbean,Sub-Saharan Africa
Saint Lucia,LCA,North America,Caribbean,Latin America and the Caribbean
Saint Martin,MAF,North America,Caribbean,Latin America and the Caribbean
Saint Pierre and Miquelon,SPM,North America,Northern America,Latin America and the Caribbean
Saint Vincent and the Grenadines,VCT,North America,Caribbean,
Samoa,WSM,Oceania,Polynesia,Latin America and the Caribbean
San Marino,SMR,Europe,Southern Europe,
São Tomé and Príncipe,STP,Africa,Middle Africa,
Sark,,Europe,Northern Europe,Sub-Saharan Africa
Saudi Arabia,SAU,Asia,Western Asia,Channel Islands
Senegal,SEN,Africa,Western Africa,
Serbia,SRB,Europe,Southern Europe,Sub-Saharan Africa
Yugoslavia,,Europe,Southern Europe,
Kosovo,KOS,Europe,Southern Europe,
Seychelles,SYC,Africa,Eastern Africa,
Sierra Leone,SLE,Africa,Western Africa,Sub-Saharan Africa
Singapore,SGP,Asia,South-eastern Asia,Sub-Saharan Africa
Sint Maarten,SXM,North America,Caribbean,
Slovakia,SVK,Europe,Eastern Europe,Latin America and the Caribbean
Slovenia,SVN,Europe,Southern Europe,
Solomon Islands,SLB,Oceania,Melanesia,
Somalia,SOM,Africa,Eastern Africa,
Somaliland,SOM,Africa,Eastern Africa,Sub-Saharan Africa
Barawa,SOM,Africa,Eastern Africa,Sub-Saharan Africa
South Africa,ZAF,Africa,Southern Africa,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,South America,South America,Sub-Saharan Africa
South Sudan,SSD,Africa,Eastern Africa,Latin America and the Caribbean
Spain,ESP,Europe,Southern Europe,Sub-Saharan Africa
Canary Islands,ESP,Europe,Southern Europe,
Menorca,ESP,Europe,Southern Europe,
Madrid,ESP,Europe,Southern Europe,
Galicia,ESP,Europe,Southern Europe,
Central Spain,ESP,Europe,Southern Europe,
Basque Country,ESP,Europe,Southern Europe,
Asturias,ESP,Europe,Southern Europe,
Andalusia,ESP,Europe,Southern Europe,
Catalonia,ESP,Europe,Southern Europe,
Sri Lanka,LKA,Asia,Southern Asia,
Tamil Eelam,LKA,Asia,Southern Asia,
Palestine,PSE,Asia,Western Asia,
Sudan,SDN,Africa,Northern Africa,
Darfur,SDN,Africa,Northern Africa,
Suriname,SUR,South America,South America,
Svalbard and Jan Mayen Islands,SJM,Europe,Northern Europe,Latin America and the Caribbean
Sweden,SWE,Europe,Northern Europe,
Gotland,SWE,Europe,Northern Europe,
Switzerland,CHE,Europe,Western Europe,
Raetia,,Europe,Western Europe,
Syria,SYR,Asia,Western Asia,
Arameans Suryoye,,Asia,Western Asia,
Tajikistan,TJK,Asia,Central Asia,
Thailand,THA,Asia,South-eastern Asia,
Timor-Leste,TLS,Asia,South-eastern Asia,
Togo,TGO,Africa,Western Africa,
Tokelau,TKL,Oceania,Polynesia,Sub-Saharan Africa
Tonga,TON,Oceania,Polynesia,
Trinidad and Tobago,TTO,North America,Caribbean,
Tunisia,TUN,Africa,Northern Africa,Latin America and the Caribbean
Turkey,TUR,Asia,Western Asia,
Western Armenia,TUR,Asia,Western Asia,
Turkmenistan,TKM,Asia,Central Asia,
Turks and Caicos Islands,TCA,North America,Caribbean,
Tuvalu,TUV,Oceania,Polynesia,Latin America and the Caribbean
Uganda,UGA,Africa,Eastern Africa,
Ukraine,UKR,Europe,Eastern Europe,Sub-Saharan Africa
Kárpátalja,UKR,Europe,Eastern Europe,
Crimea,UKR,Europe,Eastern Europe,
United Arab Emirates,ARE,Asia,Western Asia,
United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Northern Europe,
Scotland,GBR,Europe,Northern Europe,
Shetland,GBR,Europe,Northern Europe,
Orkney,GBR,Europe,Northern Europe,
Ynys Môn,GBR,Europe,Northern Europe,
Yorkshire,GBR,Europe,Northern Europe,
Western Isles,GBR,Europe,Northern Europe,
England,GBR,Europe,Northern Europe,
Alderney,GBR,Europe,Northern Europe,
Kernow,GBR,Europe,Northern Europe,
Northern Ireland,GBR,Europe,Northern Europe,
Parishes of Jersey,GBR,Europe,Northern Europe,
Isle of Wight,GBR,Europe,Northern Europe,
Surrey,GBR,Europe,Northern Europe,
Wales,GBR,Europe,Northern Europe,
Tanzania,TZA,Africa,Eastern Africa,Sub-Saharan Africa
Zanzibar,ZNZ,Africa,Eastern Africa,Sub-Saharan Africa
United States Minor Outlying Islands,UMI,Oceania,Micronesia,
United States of America,USA,North America,Northern America,
Cascadia,USA,North America,Northern America,
United States Virgin Islands,VIR,North America,Caribbean,Latin America and the Caribbean
Uruguay,URY,South America,South America,Latin America and the Caribbean
Uzbekistan,UZB,Asia,Central Asia,
Vanuatu,VUT,Oceania,Melanesia,
Venezuela,VEN,South America,South America,Latin America and the Caribbean
Vietnam,VNM,Asia,South-eastern Asia,
North Vietnam,VNM,Asia,South-eastern Asia,
Vietnam Republic,VNM,Asia,South-eastern Asia,
Wallis and Futuna Islands,WLF,Oceania,Polynesia,
Western Sahara,ESH,Africa,Northern Africa,
Yemen,YEM,Asia,Western Asia,
Yemen DPR,YEM,Asia,Western Asia,
Zambia,ZMB,Africa,Eastern Africa,Sub-Saharan Africa
Zimbabwe,ZWE,Africa,Eastern Africa,Sub-Saharan Africa
Matabeleland,ZWE,Africa,Eastern Africa,Sub-Saharan Africa
Wallis Islands and Futuna,,Oceania,Polynesia,
